time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
3126,240.0,4,64.01440214833497,64.8076155282939,25.61111111111104,0.0,23.44444444444438,0,0,1,1,0
3128,240.0,4,63.96443549890552,64.76362236817369,25.666666666666593,0.0,23.499999999999936,0,0,1,1,0
3130,240.0,4,63.91446884947608,64.71962920805346,25.722222222222147,0.0,23.55555555555549,0,0,1,1,0
3132,240.0,4,63.86450220004662,64.67563604793324,25.777777777777704,0.0,23.611111111111043,0,0,1,1,0
3134,240.0,4,63.81453555061718,64.63164288781303,25.833333333333258,0.0,23.6666666666666,0,0,1,1,0
3136,240.0,4,63.76456890118774,64.5876497276928,25.88888888888882,0.0,23.722222222222157,0,0,1,1,0
3138,240.0,4,63.71460225175828,64.54365656757258,25.944444444444372,0.0,23.77777777777771,0,0,1,1,0
3140,240.0,4,63.664635602328836,64.49966340745237,25.999999999999922,0.0,23.833333333333268,0,0,1,1,0
3142,240.0,4,63.614668952899386,64.45567024733215,26.055555555555483,0.0,23.888888888888822,0,0,1,1,0
3144,240.0,4,63.56470230346994,64.41167708721193,26.111111111111036,0.0,23.944444444444375,0,0,1,1,0
3146,240.0,4,63.514735654040486,64.36768392709172,26.166666666666593,0.0,23.999999999999932,0,0,1,1,0
3148,240.0,4,63.46476900461104,64.3236907669715,26.222222222222147,0.0,24.05555555555549,0,0,1,1,0
3150,240.0,4,63.4148023551816,64.27969760685127,26.2777777777777,0.0,24.111111111111043,0,0,1,1,0
3152,240.0,4,63.36483570575216,64.23570444673106,26.333333333333258,0.0,24.166666666666597,0,0,1,1,0
3154,240.0,4,63.3148690563227,64.19171128661084,26.38888888888881,0.0,24.222222222222154,0,0,1,1,0
3156,240.0,4,63.264902406893256,64.14771812649062,26.444444444444372,0.0,24.277777777777708,0,0,1,1,0
3158,240.0,4,63.214935757463806,64.10372496637041,26.499999999999922,0.0,24.333333333333265,0,0,1,1,0
3160,240.0,4,63.16496910803436,64.05973180625018,26.555555555555475,0.0,24.388888888888822,0,0,1,1,0
3162,240.0,4,63.115002458604906,64.01573864612996,26.611111111111036,0.0,24.444444444444375,0,0,1,1,0
3164,240.0,4,63.06503580917546,63.971745486009745,26.66666666666659,0.0,24.49999999999993,0,0,1,1,0
3166,240.0,4,63.01506915974602,63.971745486009745,26.722222222222147,0.0,24.555555555555486,0,0,1,1,0
3168,240.0,4,62.96510251031656,63.92775232588953,26.777777777777708,0.0,24.611111111111043,0,0,1,1,0
3170,240.0,4,62.91513586088712,63.883759165769305,26.833333333333265,0.0,24.666666666666597,0,0,1,1,0
3172,240.0,4,62.86516921145767,63.83976600564909,26.888888888888822,0.0,24.72222222222215,0,0,1,1,0
3174,240.0,4,62.815202562028226,63.79577284552887,26.944444444444382,0.0,24.777777777777708,0,0,1,1,0
3176,240.0,4,62.76523591259877,63.75177968540865,26.99999999999994,0.0,24.833333333333265,0,0,1,1,0
3178,240.0,4,62.715269263169326,63.707786525288434,27.0555555555555,0.0,24.88888888888882,0,0,1,1,0
